TIme,BVP,EDA,HR,TEMP,Tin,Rhin,TSV
2020-11-06 12:09,-0.18,0.98,74.61,33.14,23.50,29.60,1.00
2020-11-06 12:10,-0.19,0.21,68.53,33.03,23.50,29.50,1.00
2020-11-06 12:11,0.11,0.24,69.65,32.97,23.50,29.70,1.00
2020-11-06 12:12,0.14,0.29,105.36,32.85,23.50,29.70,1.00
2020-11-06 12:13,-0.12,0.35,112.76,32.82,23.50,29.60,1.00
2020-11-06 12:14,0.05,0.28,70.83,32.81,23.50,29.70,1.00
2020-11-06 12:15,0.15,0.33,67.96,32.83,23.50,29.70,1.00
2020-11-06 12:16,0.15,0.29,64.88,32.88,23.50,29.70,1.00
2020-11-06 12:17,0.12,0.19,69.82,32.91,23.50,29.70,1.00
2020-11-06 12:18,-1.14,0.13,71.99,32.97,23.50,29.60,1.00
2020-11-06 12:19,0.66,0.41,72.47,33.06,23.50,29.50,1.00
2020-11-06 12:20,-0.08,0.49,73.95,33.26,23.50,29.50,1.00
2020-11-06 12:21,0.20,0.42,76.46,33.35,23.50,29.40,1.00
2020-11-06 12:22,0.07,0.17,71.52,33.42,23.50,29.60,1.00
2020-11-06 12:23,0.60,0.24,68.84,33.46,23.50,29.50,1.00
2020-11-06 12:24,-0.63,0.33,88.72,33.47,23.50,29.60,1.00
2020-11-06 12:25,-0.08,0.26,82.59,33.52,23.50,29.40,1.00
2020-11-06 12:26,0.36,0.24,70.29,33.50,23.50,29.50,1.00
2020-11-06 12:27,-0.14,0.47,84.56,33.63,23.50,29.50,1.00
2020-11-06 12:28,-0.33,0.55,74.87,33.71,23.50,29.60,1.00
2020-11-06 12:29,0.15,0.93,81.17,33.74,23.50,29.60,1.00
2020-11-06 12:30,-0.26,0.99,77.82,33.69,23.50,29.70,1.00
2020-11-06 12:31,0.45,1.48,73.75,33.56,23.50,29.50,1.00
2020-11-06 12:32,0.21,0.90,75.31,33.58,23.50,29.40,1.00
2020-11-06 12:33,-0.60,1.06,71.42,33.56,23.50,29.40,1.00
2020-11-06 12:34,-0.09,0.96,77.40,33.42,23.50,29.50,1.00
2020-11-06 12:35,0.24,1.08,85.42,33.32,23.50,29.50,1.00
2020-11-06 12:36,0.03,1.33,74.20,33.32,23.50,29.60,1.00
2020-11-06 12:37,0.03,1.62,66.05,33.27,23.50,29.60,1.00
2020-11-06 12:38,0.63,1.41,72.77,33.24,23.50,29.40,1.00
2020-11-06 12:39,0.96,1.38,91.07,33.24,23.50,29.50,1.00
2020-11-06 12:40,-2.38,1.13,76.75,33.24,23.50,29.60,1.00
2020-11-06 12:41,0.32,0.97,100.84,33.22,23.50,29.60,1.00
2020-11-06 12:42,-0.07,1.61,100.88,33.21,23.50,29.50,1.00
2020-11-06 12:43,0.51,1.23,89.96,33.14,23.50,29.60,1.00
2020-11-06 12:44,0.58,0.73,106.98,33.06,23.50,29.20,1.00
2020-11-06 12:45,-0.81,0.69,84.02,32.95,23.50,29.40,1.00
2020-11-06 12:46,0.51,1.00,81.15,32.89,23.50,29.40,1.00
2020-11-06 12:47,0.07,0.85,97.65,32.83,23.50,29.40,1.00
2020-11-06 12:48,-1.01,0.78,92.53,32.76,23.50,29.40,1.00
2020-11-06 12:49,0.71,0.98,89.29,32.78,23.50,29.40,1.00
2020-11-06 12:50,0.48,1.30,78.05,32.85,23.50,29.50,1.00
2020-11-06 12:51,-0.51,1.44,78.77,32.91,23.50,29.40,1.00
2020-11-06 12:52,0.01,0.99,81.08,32.94,23.50,29.50,1.00
2020-11-06 12:53,0.43,1.17,78.05,33.02,23.50,29.50,1.00
2020-11-06 12:54,-0.69,1.14,75.33,33.07,23.50,29.40,1.00
2020-11-06 12:55,0.16,1.45,77.00,33.26,23.50,29.40,1.00
2020-11-06 12:56,0.15,1.02,76.82,33.45,23.60,29.50,1.00
2020-11-06 12:57,-0.07,1.01,80.61,33.64,23.60,29.50,1.00
2020-11-06 12:58,0.50,1.28,75.04,33.77,23.60,29.60,1.00
2020-11-06 12:59,-0.77,1.82,75.18,33.75,23.60,29.60,1.00
2020-11-06 13:00,0.32,1.91,77.11,33.80,23.60,29.50,1.00
2020-11-06 13:01,-0.18,2.23,73.84,33.89,23.60,29.60,1.00
2020-11-06 13:02,0.47,1.86,74.16,33.98,23.60,29.50,1.00
2020-11-06 13:03,0.30,2.09,81.06,33.96,23.60,29.50,1.00
2020-11-06 13:04,-0.55,2.37,81.87,33.98,23.60,29.60,1.00
2020-11-06 13:05,-0.10,2.09,72.27,34.02,23.60,29.60,1.00
2020-11-06 13:06,0.05,1.67,78.00,34.05,23.60,29.70,1.00
2020-11-06 13:07,-0.18,1.62,75.64,34.07,23.60,29.60,1.00
2020-11-06 13:08,0.29,1.67,74.26,34.10,23.60,29.50,1.00
2020-11-06 13:09,1.39,1.20,81.60,34.12,23.60,29.70,1.00
2020-11-06 13:10,-1.68,2.14,73.11,34.06,23.60,29.50,1.00
2020-11-06 13:11,0.13,2.50,78.05,34.08,23.60,29.60,1.00
2020-11-06 13:12,-0.17,0.89,87.64,33.92,23.60,29.60,1.00
2020-11-06 13:13,1.51,1.08,93.01,34.08,23.60,29.60,1.00
2020-11-06 13:14,-1.38,1.00,97.71,34.18,23.60,29.50,1.00
2020-11-06 13:15,-0.04,1.70,78.76,34.30,23.60,29.60,1.00
2020-11-06 13:16,0.49,1.48,83.14,34.30,23.60,29.60,1.00
2020-11-06 13:17,-0.52,0.73,81.48,34.24,23.60,29.50,1.00
2020-11-06 13:18,-0.46,0.50,72.82,34.13,23.60,29.50,1.00
2020-11-06 13:19,0.68,0.46,72.91,34.03,23.60,29.60,1.00
2020-11-06 13:20,-0.58,0.42,72.68,33.99,23.60,29.80,1.00
2020-11-06 13:21,0.85,0.43,70.18,33.95,23.60,29.60,1.00
2020-11-06 13:22,-0.16,0.68,70.79,33.96,23.60,29.70,1.00
2020-11-06 13:23,-0.66,0.58,79.73,33.97,23.60,29.70,1.00
2020-11-06 13:24,0.07,0.62,77.64,33.99,23.60,29.80,1.00
2020-11-06 13:25,0.03,0.79,73.09,34.06,23.60,29.80,1.00
2020-11-06 13:26,0.25,0.85,71.85,34.14,23.60,29.70,1.00
2020-11-06 13:27,-0.02,0.72,70.59,34.17,23.60,29.70,1.00
2020-11-06 13:28,0.01,0.35,71.39,34.27,23.70,29.70,1.00
2020-11-06 13:29,-0.46,0.57,71.56,34.37,23.70,29.70,1.00
2020-11-06 13:30,1.33,0.21,70.28,34.48,23.70,29.80,1.00
2020-11-06 13:31,-1.55,0.77,72.27,34.54,23.70,29.80,1.00
2020-11-06 13:32,1.25,0.72,73.38,34.60,23.70,29.90,1.00
2020-11-06 13:33,-0.42,1.01,72.13,34.67,23.70,29.90,1.00
2020-11-06 13:34,0.26,0.67,72.29,34.74,23.70,29.90,1.00
2020-11-06 13:35,0.30,0.84,74.50,34.77,23.70,29.90,1.00
2020-11-06 13:36,-0.73,1.00,76.92,34.87,23.70,29.90,1.00
2020-11-06 13:37,2.15,1.14,87.38,34.90,23.70,29.90,1.00
2020-11-06 13:38,-1.92,0.91,87.84,34.87,23.70,30.00,1.00
2020-11-06 13:39,-0.49,0.83,89.41,34.70,23.70,29.90,1.00
2020-11-06 13:40,0.50,0.46,86.52,34.33,23.70,29.80,1.00
2020-11-06 13:41,-0.08,0.35,83.15,34.20,23.70,29.90,1.00
2020-11-06 13:42,-0.34,0.25,84.53,33.98,23.70,30.00,1.00
2020-11-06 13:43,0.59,0.27,84.54,33.77,23.70,30.20,1.00
2020-11-06 13:44,-0.33,0.28,86.53,33.52,23.70,30.10,1.00
2020-11-06 13:45,-0.12,0.31,83.68,33.38,23.70,30.20,1.00
2020-11-06 13:46,0.07,0.32,92.61,33.32,23.70,30.20,1.00
2020-11-06 13:47,0.06,0.31,97.97,33.23,23.70,30.20,1.00
2020-11-06 13:48,0.21,0.32,84.65,33.13,23.70,30.30,1.00
2020-11-06 13:49,0.20,0.26,89.28,32.96,23.70,30.30,1.00
2020-11-06 13:50,-0.35,0.32,96.16,32.81,23.70,30.40,1.00
2020-11-06 13:51,0.37,0.37,93.01,32.67,23.70,30.40,1.00
2020-11-06 13:52,-0.29,0.49,95.16,32.53,23.70,30.50,1.00
2020-11-06 13:53,0.43,0.71,91.87,32.27,23.70,30.60,1.00
2020-11-06 13:54,-0.68,0.88,87.86,32.16,23.80,30.60,1.00
2020-11-06 13:55,0.29,0.83,89.91,32.19,23.70,30.70,1.00
2020-11-06 13:56,-0.31,0.83,99.26,32.16,23.70,30.60,1.00
2020-11-06 13:57,0.18,0.96,92.55,32.02,23.80,30.60,1.00
2020-11-06 13:58,0.20,1.01,88.36,31.95,23.80,30.70,1.00
2020-11-06 13:59,-0.30,1.18,86.70,31.97,23.80,30.80,1.00
2020-11-06 14:00,0.03,1.39,88.54,31.90,23.80,30.80,1.00
2020-11-06 14:01,-0.01,1.47,82.12,31.87,23.80,30.90,1.00
2020-11-06 14:02,0.10,1.48,81.40,31.87,23.80,30.90,1.00
2020-11-06 14:03,-0.14,1.34,83.30,31.95,23.80,31.00,1.00
2020-11-06 14:04,0.09,1.21,76.36,32.16,23.80,30.90,1.00
2020-11-06 14:05,-0.46,1.28,62.15,32.34,23.80,31.00,1.00
2020-11-06 14:06,0.29,1.23,78.62,32.49,23.80,31.00,1.00
2020-11-06 14:07,0.19,1.43,81.87,32.58,23.80,30.90,1.00
2020-11-06 14:08,-0.12,1.60,79.53,32.67,23.80,31.10,1.00
2020-11-06 14:09,-0.01,1.53,78.72,32.80,23.80,31.00,1.00
2020-11-06 14:10,0.09,1.56,81.96,32.96,23.80,31.00,1.00
2020-11-06 14:11,0.06,1.53,81.34,33.02,23.90,31.10,1.00
2020-11-06 14:12,-0.11,1.59,78.54,33.17,23.90,31.10,1.00
2020-11-06 14:13,0.17,1.87,77.69,33.33,23.90,31.10,1.00
2020-11-06 14:14,-0.16,1.91,77.50,33.49,23.90,31.10,1.00
2020-11-06 14:15,0.03,1.86,79.41,33.53,23.90,31.00,1.00
2020-11-06 14:16,0.03,1.84,81.80,33.60,23.90,31.20,1.00
2020-11-06 14:17,0.22,1.95,81.15,33.58,23.90,31.10,1.00
2020-11-06 14:18,-0.41,1.93,76.82,33.65,23.90,31.10,1.00
2020-11-06 14:19,0.48,1.87,84.66,33.81,23.90,31.30,1.00
2020-11-06 14:20,0.05,1.58,101.93,33.87,23.90,31.10,1.00
2020-11-06 14:21,-0.16,1.20,108.04,33.82,23.90,31.30,1.00
2020-11-06 14:22,-0.14,1.36,93.39,33.65,23.90,31.50,1.00
2020-11-06 14:23,-0.08,1.31,88.13,33.55,23.90,31.50,1.00
2020-11-06 14:24,0.05,1.06,82.53,33.48,24.00,32.30,1.00
2020-11-06 14:25,-0.24,0.94,79.60,33.46,24.00,32.40,1.00
2020-11-06 14:26,0.20,0.76,79.57,33.49,24.00,32.40,1.00
2020-11-06 14:27,-0.21,0.93,79.73,33.57,24.00,32.50,1.00
2020-11-06 14:28,0.53,1.10,79.58,33.71,24.10,32.30,1.00
2020-11-06 14:29,-0.36,1.37,75.51,33.93,24.10,31.70,1.00
2020-11-06 14:30,0.10,1.66,84.30,34.12,24.10,32.10,1.00
2020-11-06 14:31,0.01,1.67,70.68,34.14,24.10,31.80,1.00
2020-11-06 14:32,-0.12,1.31,79.16,34.09,24.10,31.80,1.00
2020-11-06 14:33,0.08,1.20,85.68,34.09,24.10,31.70,1.00
2020-11-06 14:34,-0.12,0.98,86.62,34.06,24.10,31.90,1.00
2020-11-06 14:35,0.10,0.86,77.39,33.95,24.10,31.90,1.00
2020-11-06 14:36,0.03,0.83,90.20,33.82,24.10,32.00,1.00
2020-11-06 14:37,0.61,0.78,98.32,33.71,24.10,32.00,1.00
2020-11-06 14:38,-0.61,0.79,93.89,33.63,24.10,31.90,1.00
2020-11-06 14:39,-0.05,0.78,86.57,33.47,24.10,31.90,1.00
2020-11-06 14:40,0.20,0.72,90.87,33.31,24.10,32.00,1.00
2020-11-06 14:41,-0.17,0.77,93.17,33.13,24.10,32.00,1.00
2020-11-06 14:42,0.09,0.97,87.67,33.03,24.10,32.00,1.00
2020-11-06 14:43,-0.44,1.02,94.73,33.05,24.10,32.10,1.00
2020-11-06 14:44,1.42,0.98,90.70,33.02,24.10,32.10,1.00
2020-11-06 14:45,-1.17,0.92,77.33,32.85,24.10,32.50,1.00
2020-11-06 14:46,0.11,0.66,87.19,32.62,24.10,33.00,1.00
2020-11-06 14:47,-0.01,0.78,86.50,32.47,24.10,33.00,1.00
2020-11-06 14:48,-0.15,0.92,84.96,32.41,24.10,33.60,1.00
2020-11-06 14:49,0.00,0.90,84.86,32.48,24.20,32.70,1.00
2020-11-06 14:50,0.09,1.10,80.62,32.55,24.20,32.60,1.00
2020-11-06 14:51,0.02,1.11,78.30,32.66,24.20,32.80,1.00
2020-11-06 14:52,0.24,1.08,80.72,32.79,24.20,32.70,1.00
2020-11-06 14:53,-0.32,1.08,81.81,32.90,24.20,32.90,1.00
2020-11-06 14:54,0.73,1.38,84.58,33.03,24.20,32.60,1.00
2020-11-06 14:55,-0.73,1.28,86.26,33.16,24.20,33.30,0.00
2020-11-06 14:56,0.16,0.57,86.49,33.23,24.30,32.80,0.00
2020-11-06 14:57,0.10,0.64,87.40,33.39,24.30,32.80,0.00
2020-11-06 14:58,-0.18,0.70,85.60,33.53,24.30,33.00,0.00
2020-11-06 14:59,0.15,0.86,86.19,33.68,24.30,32.80,0.00
2020-11-06 15:00,-0.36,0.99,86.94,33.81,24.30,33.10,0.00
2020-11-06 15:01,-0.01,1.05,87.64,33.92,24.30,33.10,0.00
2020-11-06 15:02,0.37,1.15,82.64,33.95,24.40,32.90,0.00
2020-11-06 15:03,-0.10,1.10,85.73,33.95,24.40,33.30,0.00
2020-11-06 15:04,-0.86,1.22,86.85,33.98,24.40,33.40,0.00
2020-11-06 15:05,0.80,1.38,80.35,34.07,24.40,33.60,0.00
2020-11-06 15:06,-0.04,1.17,84.69,34.11,24.50,33.30,0.00
2020-11-06 15:07,-0.70,0.99,85.48,34.16,24.50,33.30,0.00
2020-11-06 15:08,0.08,1.41,85.19,34.22,24.50,33.40,0.00
2020-11-06 15:09,0.61,2.02,85.94,34.26,24.50,32.90,0.00
2020-11-06 15:10,0.20,2.33,86.07,34.29,24.50,32.80,0.00
2020-11-06 15:11,0.06,2.51,83.64,34.39,24.50,33.00,0.00
2020-11-06 15:12,-0.14,2.40,81.53,34.44,24.50,32.80,0.00
2020-11-06 15:13,0.13,2.03,85.25,34.43,24.50,32.80,0.00
2020-11-06 15:14,-0.13,1.90,86.34,34.39,24.50,32.70,0.00
2020-11-06 15:15,-0.19,1.94,88.72,34.46,24.50,32.80,0.00
2020-11-06 15:16,0.05,2.22,90.55,34.58,24.50,33.00,0.00
2020-11-06 15:17,0.10,2.20,89.70,34.63,24.60,33.00,0.00
2020-11-06 15:18,0.12,1.94,92.60,34.71,24.60,33.00,0.00
2020-11-06 15:19,-0.40,1.73,95.58,34.70,24.60,33.00,0.00
2020-11-06 15:20,0.39,1.75,87.96,34.58,24.60,33.00,0.00
2020-11-06 15:21,-0.50,1.71,95.69,34.50,24.60,33.00,0.00
2020-11-06 15:22,0.51,2.28,98.26,34.45,24.60,33.10,0.00
2020-11-06 15:23,-0.22,2.51,86.86,34.39,24.60,33.10,0.00
2020-11-06 15:24,0.20,2.75,84.08,34.39,24.60,33.00,0.00
2020-11-06 15:25,-0.06,2.97,82.49,34.47,24.60,33.00,0.00
2020-11-06 15:26,-0.09,2.97,83.42,34.57,24.60,33.00,0.00
2020-11-06 15:27,0.04,3.03,85.25,34.63,24.60,33.20,0.00
2020-11-06 15:28,0.04,3.30,83.70,34.77,24.60,33.20,0.00
2020-11-06 15:29,-0.01,3.34,85.55,34.92,24.60,33.20,0.00
2020-11-06 15:30,0.05,3.20,87.21,34.99,24.60,33.30,0.00
2020-11-06 15:31,-0.08,3.43,84.54,35.07,24.60,33.30,0.00
2020-11-06 15:32,0.13,3.36,84.56,35.19,24.60,33.40,0.00
2020-11-06 15:33,-0.14,3.37,84.80,35.29,24.60,33.30,0.00
2020-11-06 15:34,-0.02,3.03,85.84,35.34,24.60,34.90,0.00
2020-11-06 15:35,0.19,3.28,84.38,35.32,24.60,33.50,0.00
2020-11-06 15:36,-0.23,3.70,81.26,35.33,24.70,33.30,0.00
2020-11-06 15:37,0.09,3.47,81.35,35.37,24.70,33.30,0.00
2020-11-06 15:38,-0.14,3.06,83.50,35.37,24.70,33.50,0.00
2020-11-06 15:39,0.22,2.33,86.53,35.38,24.70,33.50,0.00
2020-11-06 15:40,-0.13,1.91,84.08,35.34,24.70,33.60,0.00
2020-11-06 15:41,0.00,1.63,80.32,35.30,24.70,33.60,0.00
2020-11-06 15:42,0.04,1.52,82.84,35.26,24.70,33.50,0.00
2020-11-06 15:43,0.11,1.98,85.85,35.30,24.70,33.50,0.00
2020-11-06 15:44,0.21,2.44,88.35,35.43,24.70,33.50,0.00
2020-11-06 15:45,-0.29,2.50,87.87,35.49,24.70,33.60,0.00
2020-11-06 15:46,-0.13,2.55,83.97,35.52,24.70,33.60,0.00
2020-11-06 15:47,0.10,2.77,87.70,35.59,24.70,33.60,0.00
2020-11-06 15:48,-0.09,2.74,86.53,35.68,24.70,33.50,0.00
2020-11-06 15:49,0.17,2.99,86.50,35.73,24.70,33.80,0.00
2020-11-06 15:50,-0.07,3.23,86.94,35.71,24.70,33.70,0.00
2020-11-06 15:51,-0.22,3.12,85.36,35.69,24.70,33.70,0.00
2020-11-06 15:52,0.23,3.06,85.67,35.62,24.70,33.70,0.00
2020-11-06 15:53,-0.01,3.08,86.94,35.67,24.70,33.70,0.00
2020-11-06 15:54,-0.09,2.90,85.72,35.79,24.70,33.60,0.00
2020-11-06 15:55,0.96,2.72,77.85,35.87,24.70,35.50,1.00
2020-11-06 15:56,-0.86,1.98,76.91,35.81,24.80,33.90,1.00
2020-11-06 15:57,0.14,2.40,85.47,35.74,24.80,34.10,1.00
2020-11-06 15:58,-0.22,2.39,85.39,35.65,24.80,34.10,1.00
2020-11-06 15:59,0.26,2.97,80.07,35.54,24.80,33.90,1.00
2020-11-06 16:00,-0.19,2.98,78.73,35.53,24.80,33.90,1.00
2020-11-06 16:01,-0.05,3.23,79.14,35.56,24.80,33.80,1.00
2020-11-06 16:02,0.15,3.45,77.63,35.60,24.80,33.80,1.00
2020-11-06 16:03,-0.27,3.98,77.88,35.64,24.80,33.80,1.00
2020-11-06 16:04,0.26,3.84,78.15,35.71,24.80,33.80,1.00
2020-11-06 16:05,-0.41,3.65,77.09,35.78,24.80,34.20,1.00
2020-11-06 16:06,0.44,2.88,76.25,35.72,24.90,34.40,1.00
2020-11-06 16:07,-0.01,2.96,76.06,35.66,24.90,34.30,1.00
2020-11-06 16:08,-0.23,3.33,77.83,35.66,24.90,33.90,1.00
2020-11-06 16:09,-0.05,3.11,78.49,35.69,24.90,34.00,1.00
2020-11-06 16:10,0.20,3.11,79.58,35.77,24.90,34.20,1.00
2020-11-06 16:11,-0.65,2.94,82.21,35.70,24.90,34.00,1.00
2020-11-06 16:12,0.74,2.70,82.05,35.68,24.90,34.30,1.00
2020-11-06 16:13,0.10,2.30,86.07,35.73,24.90,34.10,1.00
2020-11-06 16:14,-0.20,2.24,84.92,35.87,24.90,34.10,1.00
2020-11-06 16:15,0.13,2.22,84.28,35.91,24.90,34.20,1.00
2020-11-06 16:16,-0.13,2.22,86.83,35.81,24.90,34.10,1.00
2020-11-06 16:17,-0.16,1.95,84.29,35.71,24.90,34.30,1.00
2020-11-06 16:18,0.13,2.79,83.09,35.73,24.90,34.20,1.00
2020-11-06 16:19,0.62,3.43,86.17,35.67,24.80,34.10,1.00
2020-11-06 16:20,-0.65,3.53,80.96,35.60,24.80,34.10,1.00
2020-11-06 16:21,-0.10,2.80,78.28,35.48,24.70,34.30,1.00
2020-11-06 16:22,0.17,2.83,75.61,35.39,24.60,34.40,1.00
2020-11-06 16:23,-0.01,2.37,75.43,35.35,24.50,34.40,1.00
2020-11-06 16:24,-0.44,2.74,76.41,35.33,24.40,34.70,1.00
2020-11-06 16:25,0.21,2.69,75.68,35.33,24.40,34.90,1.00
2020-11-06 16:26,0.21,2.74,76.60,35.34,24.30,35.10,1.00
2020-11-06 16:27,0.22,2.58,77.36,35.39,24.30,35.30,1.00
2020-11-06 16:28,-0.31,2.89,76.59,35.40,24.20,35.40,1.00
2020-11-06 16:29,0.13,2.75,72.07,35.39,24.20,35.60,1.00
2020-11-06 16:30,-0.23,2.31,78.03,35.36,24.20,35.60,1.00
2020-11-06 16:31,0.17,1.88,75.93,35.29,24.20,35.50,1.00
2020-11-06 16:32,-0.12,1.53,76.85,35.24,24.10,35.70,1.00
2020-11-06 16:33,0.10,1.60,78.62,35.18,24.10,35.70,1.00
2020-11-06 16:34,0.12,1.90,80.59,35.24,24.00,35.50,1.00
2020-11-06 16:35,-0.49,2.11,86.99,35.24,24.00,35.70,1.00
2020-11-06 16:36,0.41,2.13,105.55,35.17,24.00,35.60,1.00
2020-11-06 16:37,0.07,1.85,79.16,35.11,23.90,35.70,1.00
2020-11-06 16:38,-0.03,1.64,75.99,35.11,23.90,35.70,1.00
2020-11-06 16:39,-1.16,1.32,74.80,35.14,24.00,35.70,1.00
2020-11-06 16:40,4.10,1.46,74.08,35.10,24.00,35.70,1.00
2020-11-06 17:26,0.26,3.33,77.62,34.78,24.40,36.00,1.00
2020-11-06 17:27,-0.16,3.42,78.66,34.74,24.40,36.10,1.00
2020-11-06 17:28,-0.28,3.47,77.10,34.71,24.40,36.00,1.00
2020-11-06 17:29,0.16,3.82,80.03,34.70,24.40,36.00,1.00
2020-11-06 17:30,0.16,3.84,79.91,34.70,24.40,36.00,1.00
2020-11-06 17:31,-0.50,4.02,79.73,34.70,24.50,36.20,1.00
2020-11-06 17:32,0.47,4.10,80.65,34.70,24.50,36.00,1.00
2020-11-06 17:33,-0.77,3.77,80.10,34.69,24.50,36.00,1.00
2020-11-06 17:34,0.30,3.46,86.62,34.63,24.50,36.10,1.00
2020-11-06 17:35,0.58,3.29,92.56,34.65,24.50,35.90,1.00
2020-11-09 10:15,0.07,1.00,84.84,34.75,23.60,20.90,2.00
2020-11-09 10:16,-0.13,1.19,83.00,34.66,23.70,20.20,2.00
2020-11-09 10:17,0.16,1.17,83.61,34.69,23.70,20.20,2.00
2020-11-09 10:18,-0.54,1.39,83.72,34.93,23.70,19.80,2.00
2020-11-09 10:19,0.50,1.50,82.24,35.11,23.70,20.10,2.00
2020-11-09 10:20,-0.10,1.79,81.80,35.14,23.70,20.10,2.00
2020-11-09 10:21,0.22,1.87,81.53,35.21,23.80,21.30,2.00
